,ParcelID,ActualYear,TotalFinis,SaleAmount,NumberBeds,year,month,year-month,price_SF,geometry,DISTRICTID,GEOID,ZONE
56,077H191,1989,4102,429900,5,2020,6,2020-6,104.8025353,POINT (676039.6125500735 1293337.5927319457),1,13073030103,PUD
72,077H207,1990,2091,305000,3,2021,4,2021-4,145.8632233,POINT (672502.8787072186 1291214.0625037923),1,13073030103,PUD
76,077H211,1992,2403,328000,4,2021,5,2021-5,136.4960466,POINT (672297.3463101273 1291026.3350466893),1,13073030103,PUD
81,077H216,1990,2581,330000,4,2021,11,2021-11,127.8574196,POINT (672025.8730087093 1290804.2233672002),1,13073030103,PUD
82,077H217,1989,2049,310900,3,2021,3,2021-3,151.7325525,POINT (671972.5981583479 1290760.2388585904),1,13073030103,PUD
86,077H221,1990,2173,254900,3,2018,7,2018-7,117.3032674,POINT (671743.4932541196 1290614.684326862),1,13073030103,PUD
90,077H225,1991,2438,336000,4,2021,4,2021-4,137.8178835,POINT (671508.1572819962 1290476.8814383906),1,13073030103,PUD
91,077H226,1990,2207,330000,3,2022,6,2022-6,149.5242411,POINT (671497.8491829339 1290402.2856133606),1,13073030103,PUD
95,077H230,1992,2949,285000,3,2021,11,2021-11,96.64292981,POINT (671351.7156049326 1290594.2946879137),1,13073030103,PUD
98,077H583,2022,2992,95000,4,2021,3,2021-3,31.7513369,POINT (676544.1516248261 1290560.4661709333),1,13073030103,R-2
101,077H586,2022,4150,831000,5,2022,5,2022-5,200.2409639,POINT (676336.1965036875 1290366.9961497507),1,13073030103,R-2
111,077H595,2019,4507,678200,4,2019,6,2019-6,150.4770357,POINT (675831.9186599688 1290709.6640915382),1,13073030103,R-2
116,077H600,2011,5032,830000,6,2021,4,2021-4,164.9443561,POINT (675764.2321143524 1291115.7974038292),1,13073030103,R-2
131,077H615,2008,3512,625000,4,2021,10,2021-10,177.9612756,POINT (677108.2942791014 1290270.362424491),1,13073030103,R-2
132,077H616,2007,3938,815000,4,2022,7,2022-7,206.9578466,POINT (677167.2280952446 1290188.028454751),1,13073030103,R-2
133,077H617,2022,3120,750000,4,2023,8,2023-8,240.3846154,POINT (677235.251657915 1290099.2573851356),1,13073030103,R-2
134,077H684,2011,4094,530000,5,2021,5,2021-5,129.457743,POINT (674790.2443120539 1294884.272704351),1,13073030103,PUD
143,077H693,2014,6442,742500,6,2020,10,2020-10,115.2592363,POINT (674823.2008456368 1295412.92209588),1,13073030103,PUD
156,077I259,1993,2165,193900,4,2019,7,2019-7,89.56120092,POINT (673096.6058573765 1298205.0903914534),1,13073030310,R-2
158,077I261,1993,2165,204000,4,2019,8,2019-8,94.22632794,POINT (673279.0074569089 1298162.9749909467),1,13073030310,R-2
159,077I262,1994,1870,170500,4,2018,2,2018-2,91.17647059,POINT (673380.932024272 1298138.8209366715),1,13073030310,R-2
160,077I263,1995,2034,255000,4,2021,5,2021-5,125.3687316,POINT (673482.9351211919 1298211.7282583145),1,13073030310,R-2
168,077I271,1993,1865,280000,4,2022,12,2022-12,150.1340483,POINT (672908.998574049 1298216.4689499466),1,13073030310,R-2
175,077I278,1993,1951,254000,3,2021,4,2021-4,130.1896463,POINT (672597.0559364986 1298031.1733317277),1,13073030310,R-2
176,077I279,1993,1712,269000,4,2022,4,2022-4,157.1261682,POINT (672644.1910421697 1298118.916728289),1,13073030310,R-2
177,077I280,1993,2133,245000,4,2020,11,2020-11,114.8616971,POINT (672683.9858829804 1298193.0011290216),1,13073030310,R-2
180,077I283,1993,1839,199900,4,2020,8,2020-8,108.7003806,POINT (672800.8195727962 1298421.4747956416),1,13073030310,R-2
181,077I284,1993,2116,250000,4,2021,3,2021-3,118.147448,POINT (672823.2184045443 1298554.5358707772),1,13073030310,R-2
182,077I285,1993,2083,211000,4,2019,7,2019-7,101.2962074,POINT (672939.3251399272 1298591.025214892),1,13073030310,R-2
186,077I289,1994,1856,192000,4,2018,10,2018-10,103.4482759,POINT (673286.4044432433 1298527.9717877926),1,13073030310,R-2
188,077I291,1994,1962,310000,4,2023,6,2023-6,158.0020387,POINT (673454.3979195468 1298450.5853745523),1,13073030310,R-2
190,077I293,1995,1930,299900,4,2023,11,2023-11,155.388601,POINT (673601.1776152223 1298349.6184843366),1,13073030310,R-2
198,077I635,2001,1529,185000,3,2020,8,2020-8,120.9941138,POINT (678738.2373861884 1299678.1948440026),1,13073030310,R-3
200,077I637,2001,1388,160000,3,2019,4,2019-4,115.2737752,POINT (678752.6920997988 1299817.9441096138),1,13073030310,R-3
203,077I640,2000,2284,255000,4,2021,11,2021-11,111.6462347,POINT (678618.6689926704 1299963.0736964114),1,13073030310,R-3
204,077I641,2001,1388,169500,3,2020,10,2020-10,122.1181556,POINT (678565.749174288 1299991.4291600832),1,13073030310,R-3
205,077I642,2000,1489,184900,3,2020,10,2020-10,124.1773002,POINT (678512.8297644723 1300019.7834592552),1,13073030310,R-3
208,077I645,2002,1503,216000,3,2021,10,2021-10,143.7125749,POINT (678354.0793700903 1300104.8411312653),1,13073030310,R-3
217,077I654,2023,1366,162000,3,2019,8,2019-8,118.5944363,POINT (678388.0285197634 1299898.0995406948),1,13073030310,R-3
219,077I656,2001,1875,209900,4,2020,10,2020-10,111.9466667,POINT (678491.5891277165 1299837.469091686),1,13073030310,R-3
220,077I657,2000,1711,221000,4,2021,7,2021-7,129.1642314,POINT (678543.368316026 1299807.153085848),1,13073030310,R-3
223,077I660,2001,1952,203000,4,2021,10,2021-10,103.9959016,POINT (678487.788213439 1299712.2269114426),1,13073030310,R-3
225,077I662,2001,1366,228000,3,2022,8,2022-8,166.9106881,POINT (678384.2320206049 1299772.8587013378),1,13073030310,R-3
226,077I663,2001,1347,202500,3,2021,11,2021-11,150.3340757,POINT (678332.4537805549 1299803.171443168),1,13073030310,R-3
229,077I666,2002,2195,220000,4,2019,8,2019-8,100.2277904,POINT (675012.7349326874 1299564.3883609674),1,13073030310,R-3
231,077I668,2000,2410,379900,3,2023,8,2023-8,157.6348548,POINT (674852.4548773482 1299600.211740718),1,13073030310,R-3
234,077I671,2000,2294,260000,5,2019,6,2019-6,113.3391456,POINT (674652.7740606396 1299810.1425542785),1,13073030310,R-3
235,077I672,2002,2703,221602,5,2021,12,2021-12,81.98372179,POINT (674693.7204694623 1299905.9438470136),1,13073030310,R-3
238,077I675,2002,2136,172000,4,2019,10,2019-10,80.52434457,POINT (674861.3157334328 1299853.1829163448),1,13073030310,R-3
241,078 012,1979,2591,345000,3,2022,12,2022-12,133.1532227,POINT (672267.5674402752 1289520.2898861268),1,13073030103,R-1
242,078 013,1985,2858,469900,4,2018,6,2018-6,164.4156753,POINT (672053.0988896781 1289598.7218379357),1,13073030103,R-1
274,078 038B,2021,2115,5000,3,2019,7,2019-7,2.364066194,POINT (674316.2077783977 1290924.7261690367),1,13073030103,S-1
297,078 333,1998,2738,268800,4,2019,7,2019-7,98.17384953,POINT (678452.2231409434 1292623.6095986941),1,13073030103,PUD
298,078 334,1998,2319,269700,4,2020,7,2020-7,116.3001294,POINT (678599.5150929563 1292744.7605534822),1,13073030103,PUD
311,078 345,2000,2453,240000,4,2022,12,2022-12,97.83938035,POINT (678548.3788135728 1292812.5092042196),1,13073030103,PUD
312,078 346,2000,2108,220000,3,2018,10,2018-10,104.3643264,POINT (678494.5558593281 1292875.1233965154),1,13073030103,PUD
313,078 347,2000,2205,220000,4,2018,6,2018-6,99.77324263,POINT (678439.2734500717 1292931.8001458205),1,13073030103,PUD
314,078 348,2000,2344,240000,4,2018,11,2018-11,102.3890785,POINT (678381.3260984767 1292984.3749971017),1,13073030103,PUD
333,078 367,1999,2919,312200,4,2018,10,2018-10,106.9544365,POINT (678294.4198937872 1292681.9434156294),1,13073030103,PUD
335,078 369,2000,2648,330000,5,2021,8,2021-8,124.6223565,POINT (677716.4914300864 1292687.9597757163),1,13073030103,PUD
344,078 378,2000,2918,257000,4,2018,3,2018-3,88.0740233,POINT (677552.5631101925 1292778.4202306145),1,13073030103,PUD
345,078 725,2014,2799,325000,4,2018,6,2018-6,116.1128975,POINT (677518.9889429915 1289443.1061008251),1,13073030105,R-3
349,078 729,2012,2923,340000,4,2019,7,2019-7,116.3188505,POINT (677178.4950500496 1289680.2503370612),1,13073030105,R-3
400,082A358,1990,3074,267500,4,2018,4,2018-4,87.02016916,POINT (683568.1393152372 1283772.484005456),1,13073030106,R-3
402,082A360,1992,3047,330000,4,2020,7,2020-7,108.3032491,POINT (683781.6927937705 1283701.7096762108),1,13073030106,R-3
409,082A367,2006,2357,289000,3,2023,3,2023-3,122.6134917,POINT (681766.8480033298 1280634.792111078),1,13073030106,T-R
415,082A373,2007,2306,205000,3,2020,3,2020-3,88.89852559,POINT (681528.8614786204 1280730.6832615712),1,13073030106,T-R
417,082A375,2008,2355,279900,3,2023,11,2023-11,118.8535032,POINT (681454.4164415335 1280731.8209571503),1,13073030106,T-R
437,082B007,1968,1855,185000,3,2023,5,2023-5,99.73045822,POINT (683770.8557180061 1281677.4688207698),1,13073030106,P-1
439,082B009,1968,1384,125000,3,2020,6,2020-6,90.31791908,POINT (683945.4836230028 1281668.938037247),1,13073030106,R-3
504,082I008,1978,2219,315000,3,2023,6,2023-6,141.955836,POINT (689037.3775841319 1283412.1857531704),1,13073030108,R-3
523,082I029,1978,2282,279900,3,2021,3,2021-3,122.6555653,POINT (689181.5723788528 1284023.1607885004),1,13073030108,R-3
526,082I032,1978,2143,260000,3,2020,2,2020-2,121.325245,POINT (688811.7490430216 1284126.350134999),1,13073030108,R-3
532,082I038,1978,5069,359900,4,2020,10,2020-10,71.00019728,POINT (688223.5785911577 1283842.3329859811),1,13073030108,R-3
533,082I039,1978,2095,213900,3,2018,6,2018-6,102.1002387,POINT (688274.435222856 1283678.965359492),1,13073030108,R-3
535,082I041,1979,2640,165000,3,2018,7,2018-7,62.5,POINT (688471.7130820972 1283492.4917973124),1,13073030108,R-3
537,082I043,1978,2104,179500,3,2023,7,2023-7,85.31368821,POINT (688630.0297060632 1283344.7052927366),1,13073030108,R-3
540,082I046,1978,2033,268000,4,2020,12,2020-12,131.8248893,POINT (688852.4345154422 1283091.0786505204),1,13073030108,R-3
542,082I048,1978,2408,327000,3,2021,12,2021-12,135.7973422,POINT (689010.3195871013 1282932.6498122106),1,13073030108,R-3
545,082I051,1977,2037,296000,3,2021,12,2021-12,145.3117329,POINT (689247.3854222214 1282694.4876681608),1,13073030108,R-3
557,082I394,1987,2559,300000,3,2020,6,2020-6,117.2332943,POINT (688114.4626500082 1287097.8982562998),1,13073030108,R-3
561,082I398,1989,2220,250000,3,2020,2,2020-2,112.6126126,POINT (687820.7145820016 1287302.989081681),1,13073030108,R-3
563,082I400,1989,2516,265900,4,2019,3,2019-3,105.6836248,POINT (687784.5261652118 1287494.4411356347),1,13073030108,R-3
564,082I401,1990,2312,309000,4,2022,4,2022-4,133.650519,POINT (687793.7147314821 1287594.845125954),1,13073030108,R-3
571,082I408,1990,2444,379900,4,2023,4,2023-4,155.4418985,POINT (687627.2833101455 1287251.1192725534),1,13073030108,R-3
576,082I413,1989,2143,389000,4,2022,2,2022-2,181.5212319,POINT (687675.8913736594 1286786.0951504346),1,13073030108,R-3
580,082I417,1987,2768,444000,4,2023,9,2023-9,160.4046243,POINT (687448.6160482952 1287123.0981656886),1,13073030108,R-3
581,082I418,1987,2052,299900,3,2022,1,2022-1,146.1500975,POINT (687341.4636237058 1287096.006944941),1,13073030108,R-3
